Sequence_number,timestamp
16,1680744295.5074549
184,1680744295.512311
206,1680744295.512356
461,1680744295.523947
482,1680744295.523989
504,1680744295.524029
512,1680744295.5240488
518,1680744295.524065
725,1680744295.5322912
753,1680744295.533472
790,1680744295.53456
904,1680744295.536808
1031,1680744295.5413089
1066,1680744295.5413702
1142,1680744295.545751
1286,1680744295.5502112
1308,1680744295.5502532
1423,1680744295.558718
1506,1680744295.558858
1518,1680744295.558885
1532,1680744295.558913
1546,1680744295.563702
1580,1680744295.564824
1674,1680744295.56702
2099,1680744295.575572
2119,1680744295.575616
2313,1680744295.588353
2389,1680744295.588473
2410,1680744295.588512
2531,1680744295.588693
2638,1680744295.600592
2684,1680744295.600668
2728,1680744295.6007402
2895,1680744295.607989
3244,1680744295.616985
3356,1680744295.6171808
3507,1680744295.629347
3644,1680744295.629556
3646,1680744295.629567
3685,1680744295.629631
3690,1680744295.629646
3763,1680744295.637995
3849,1680744295.6402009
4107,1680744295.6490529
4302,1680744295.649343
4391,1680744295.657506
4401,1680744295.657529
4487,1680744295.66165
4655,1680744295.666305
4808,1680744295.67053
5046,1680744295.6787431
5080,1680744295.678803
5139,1680744295.678901
5145,1680744295.678918
5191,1680744295.678993
5196,1680744295.6790102
5259,1680744295.688116
5271,1680744295.688142
5342,1680744295.690798
5371,1680744295.690849
5477,1680744295.694104
5564,1680744295.698536
5644,1680744295.6986601
5738,1680744295.7027452
5867,1680744295.706926
5891,1680744295.7069702
6367,1680744295.717807
6468,1680744295.7257228
6492,1680744295.7257721
6514,1680744295.725813
6705,1680744295.736471
6744,1680744295.736537
6851,1680744295.74073
6981,1680744295.745004
7074,1680744295.745182
7080,1680744295.7452002
7154,1680744295.7509298
7315,1680744295.755075
7338,1680744295.7551181
7379,1680744295.75919
7412,1680744295.759247
7535,1680744295.7626922
7536,1680744295.762702
7543,1680744295.7646239
7568,1680744295.765644
7651,1680744295.766809
7939,1680744295.7755132
7967,1680744295.775563
8122,1680744295.785502
8138,1680744295.785534
8156,1680744295.785568
8368,1680744295.7938108
8585,1680744295.7981281
8627,1680744295.802811
8702,1680744295.802933
8725,1680744295.80686
8764,1680744295.806926
8780,1680744295.8069592
8913,1680744295.812769
8990,1680744295.81289
9048,1680744295.8176
9111,1680744295.819689
9198,1680744295.8218172
9301,1680744295.825943
9339,1680744295.826006
9390,1680744295.826089
9408,1680744295.8300622
9512,1680744295.8334541
9560,1680744295.8335319
9564,1680744295.833547
9619,1680744295.833638
9735,1680744295.8395772
9863,1680744295.843808
9969,1680744295.8485918
10059,1680744295.848733
10069,1680744295.8534029
10288,1680744295.857676
10478,1680744295.866296
10553,1680744295.866414
10944,1680744295.879839
10953,1680744295.879862
10969,1680744295.879898
11016,1680744295.8799748
11070,1680744295.880063
11165,1680744295.8904278
11240,1680744295.892499
11300,1680744295.894698
11401,1680744295.8991628
11406,1680744295.89918
11493,1680744295.8993149
11561,1680744295.904632
11610,1680744295.904712
11836,1680744295.910013
12076,1680744295.9189491
12186,1680744295.9191191
12300,1680744295.9274938
12363,1680744295.9320261
12383,1680744295.932064
12487,1680744295.936235
12559,1680744295.938294
12567,1680744295.938314
12571,1680744295.9383261
12582,1680744295.938349
12780,1680744295.9443672
12874,1680744295.948746
13020,1680744295.953036
13058,1680744295.9531012
13166,1680744295.957345
13270,1680744295.9616342
13367,1680744295.961786
13601,1680744295.9722712
13717,1680744295.972446
13976,1680744295.9849331
14063,1680744295.985069
14100,1680744295.9851332
14251,1680744295.993655
14272,1680744295.9958148
14296,1680744295.995858
14459,1680744296.001452
14524,1680744296.001556
14773,1680744296.01192
15037,1680744296.020511
15083,1680744296.020588
15181,1680744296.020747
15379,1680744296.0312252
15459,1680744296.035285
15513,1680744296.035371
15588,1680744296.0393999
15667,1680744296.041496
15913,1680744296.0497239
15927,1680744296.049752
16106,1680744296.050016
16145,1680744296.050081
16174,1680744296.0590122
16199,1680744296.060072
16337,1680744296.064467
16350,1680744296.0644941
16547,1680744296.070839
16618,1680744296.0709498
16645,1680744296.074934
16718,1680744296.077056
16764,1680744296.079356
16853,1680744296.081683
16899,1680744296.0837271
17087,1680744296.088181
17211,1680744296.092345
17287,1680744296.096816
17338,1680744296.096899
17425,1680744296.1010518
17703,1680744296.109362
18096,1680744296.118044
18175,1680744296.1263208
18197,1680744296.126365
18266,1680744296.126473
18284,1680744296.126507
18338,1680744296.126593
18400,1680744296.1266901
18456,1680744296.13605
18508,1680744296.137161
18720,1680744296.1413739
19259,1680744296.158286
19681,1680744296.174579
19704,1680744296.174622
19721,1680744296.174655
19928,1680744296.1749609
20370,1680744296.198163
20391,1680744296.1982028
20434,1680744296.198273
20439,1680744296.198288
20443,1680744296.1983008
20471,1680744296.1983502
20683,1680744296.208225
20730,1680744296.210411
20756,1680744296.210459
20803,1680744296.212841
20837,1680744296.214101
20861,1680744296.215154
21107,1680744296.2235851
21167,1680744296.22368
21177,1680744296.2237031
21361,1680744296.2318778
21379,1680744296.2319129
21538,1680744296.237099
21581,1680744296.2371688
21827,1680744296.243368
21833,1680744296.2475321
21894,1680744296.247628
21987,1680744296.251692
22056,1680744296.2539241
22116,1680744296.2562518
22118,1680744296.256263
22195,1680744296.259472
22230,1680744296.259532
22287,1680744296.262809
22289,1680744296.2628212
22337,1680744296.262898
22528,1680744296.2690198
22674,1680744296.2731159
22812,1680744296.277247
22967,1680744296.28159
23165,1680744296.290056
23215,1680744296.29014
23322,1680744296.2903008
23524,1680744296.300879
23650,1680744296.305035
23776,1680744296.30911
23976,1680744296.317396
24044,1680744296.317506
24055,1680744296.3175318
24123,1680744296.3176389
24343,1680744296.32954
24853,1680744296.3465788
24886,1680744296.346638
25048,1680744296.346881
25161,1680744296.34707
25888,1680744296.378656
26006,1680744296.378834
26031,1680744296.37888
26068,1680744296.3789408
26092,1680744296.378985
26151,1680744296.379083
26252,1680744296.3792372
26259,1680744296.379255
26396,1680744296.4045062
26561,1680744296.408891
26589,1680744296.4089441
26650,1680744296.413147
26737,1680744296.415575
26766,1680744296.4156249
26975,1680744296.421033
26977,1680744296.421045
27394,1680744296.431829
27444,1680744296.4399638
27548,1680744296.44014
27686,1680744296.440346
27731,1680744296.44868
27788,1680744296.4487722
27821,1680744296.448829
27961,1680744296.455952
27987,1680744296.455998
27996,1680744296.456019
28086,1680744296.4615822
28165,1680744296.46385
28182,1680744296.463883
28210,1680744296.4639308
28271,1680744296.4679291
28338,1680744296.46998
28476,1680744296.4742012
28484,1680744296.4742222
28553,1680744296.4743319
28607,1680744296.478664
28612,1680744296.478681
28983,1680744296.487885
28988,1680744296.487901
29062,1680744296.4880152
29350,1680744296.502483
29392,1680744296.502559
29709,1680744296.516402
29759,1680744296.51649
29826,1680744296.516597
29829,1680744296.516609
29861,1680744296.516664
29909,1680744296.5167449
29946,1680744296.52488
30079,1680744296.5296068
30099,1680744296.5296462
30114,1680744296.529676
30214,1680744296.534116
30287,1680744296.5364008
30447,1680744296.540607
30507,1680744296.540704
30683,1680744296.5472581
30739,1680744296.551301
30946,1680744296.5554738
31114,1680744296.564139
31185,1680744296.564256
31187,1680744296.564267
31261,1680744296.564384
31399,1680744296.5740259
31528,1680744296.57813
31753,1680744296.583325
31825,1680744296.5873432
31892,1680744296.587449
31922,1680744296.591402
32028,1680744296.595916
32174,1680744296.600456
32627,1680744296.60908
32629,1680744296.609092
32703,1680744296.6181178
32808,1680744296.622433
32887,1680744296.6225579
32986,1680744296.628598
33075,1680744296.628739
33541,1680744296.64031
33565,1680744296.648584
33611,1680744296.6486652
33710,1680744296.648853
33711,1680744296.648863
33848,1680744296.6581278
33910,1680744296.660188
34222,1680744296.669526
34298,1680744296.669649
34335,1680744296.669711
34364,1680744296.669832
34457,1680744296.679043
34551,1680744296.681508
34564,1680744296.681537
34580,1680744296.683651
34582,1680744296.683668
34603,1680744296.683706
34617,1680744296.684893
34711,1680744296.6871219
34904,1680744296.6913989
34917,1680744296.6914282
35019,1680744296.698071
35112,1680744296.698227
35172,1680744296.704036
35207,1680744296.706105
35229,1680744296.706144
35373,1680744296.71137
35406,1680744296.711426
35436,1680744296.711478
35437,1680744296.7114859
35585,1680744296.717833
35754,1680744296.722978
35824,1680744296.727252
35968,1680744296.733122
35987,1680744296.7331588
36056,1680744296.737648
36075,1680744296.737686
36086,1680744296.73771
36323,1680744296.743603
36424,1680744296.748054
36576,1680744296.752416
36596,1680744296.7524538
36610,1680744296.756384
36645,1680744296.756445
36786,1680744296.7618592
36793,1680744296.761895
36851,1680744296.762035
37032,1680744296.76953
37100,1680744296.769639
37149,1680744296.7740958
37194,1680744296.776157
37205,1680744296.776181
37780,1680744296.794231
38110,1680744296.794716
38272,1680744296.811123
38314,1680744296.811193
38484,1680744296.820009
38565,1680744296.82015
38696,1680744296.8243918
38954,1680744296.833484
39120,1680744296.833733
39154,1680744296.842004
39164,1680744296.842029
39184,1680744296.8420649
39223,1680744296.84213
39320,1680744296.8490539
39400,1680744296.8516521
39420,1680744296.85169
39427,1680744296.851707
39477,1680744296.855527
39540,1680744296.855628
39633,1680744296.859026
39736,1680744296.864169
40037,1680744296.873706
40280,1680744296.882854
40382,1680744296.883011
40493,1680744296.891223
40716,1680744296.895519
40747,1680744296.9002619
40837,1680744296.900403
40856,1680744296.904377
40938,1680744296.9064791
41138,1680744296.911094
41224,1680744296.915554
41244,1680744296.915594
