retransmission_sequences,timestamp
16,1680744295.512191
184,1680744295.5166788
206,1680744295.516719
461,1680744295.532047
482,1680744295.532077
504,1680744295.532128
512,1680744295.532178
518,1680744295.532224
725,1680744295.5327868
753,1680744295.534507
790,1680744295.535604
904,1680744295.541184
1031,1680744295.545557
1066,1680744295.545598
1142,1680744295.547831
1286,1680744295.555912
1308,1680744295.555939
1423,1680744295.563524
1506,1680744295.5635478
1518,1680744295.5636039
1532,1680744295.563644
1546,1680744295.5642219
1580,1680744295.5659032
1674,1680744295.569024
2099,1680744295.584075
2119,1680744295.584099
2313,1680744295.597356
2389,1680744295.597381
2410,1680744295.597434
2531,1680744295.597468
2638,1680744295.6045902
2684,1680744295.604627
2728,1680744295.6046798
2895,1680744295.612341
3244,1680744295.6250198
3356,1680744295.62505
3507,1680744295.63769
3644,1680744295.637723
3646,1680744295.637784
3685,1680744295.637855
3690,1680744295.6379268
3763,1680744295.638558
3849,1680744295.642237
4107,1680744295.657345
4302,1680744295.65737
4391,1680744295.661493
4401,1680744295.661531
4487,1680744295.663884
4655,1680744295.670347
4808,1680744295.674453
5046,1680744295.687019
5080,1680744295.6870432
5139,1680744295.687079
5145,1680744295.687119
5191,1680744295.6871538
5196,1680744295.6872141
5259,1680744295.689125
5271,1680744295.689158
5342,1680744295.6929111
5371,1680744295.6929438
5477,1680744295.696295
5564,1680744295.7025669
5644,1680744295.702611
5738,1680744295.704766
5867,1680744295.710894
5891,1680744295.710926
6367,1680744295.725569
6468,1680744295.7342238
6492,1680744295.7342489
6514,1680744295.734286
6705,1680744295.740631
6744,1680744295.7406652
6851,1680744295.7427058
6981,1680744295.749623
7074,1680744295.7496681
7080,1680744295.749702
7154,1680744295.752931
7315,1680744295.759093
7338,1680744295.7591228
7379,1680744295.761342
7412,1680744295.761376
7535,1680744295.765617
7543,1680744295.766667
7568,1680744295.7667022
7651,1680744295.768794
7939,1680744295.785331
7967,1680744295.785443
8122,1680744295.7905548
8138,1680744295.79058
8156,1680744295.790623
8368,1680744295.7979038
8585,1680744295.80267
8627,1680744295.8067698
8702,1680744295.806804
8725,1680744295.8088498
8764,1680744295.808884
8780,1680744295.808918
8913,1680744295.817454
8990,1680744295.8174899
9048,1680744295.819623
9111,1680744295.821718
9198,1680744295.823756
9301,1680744295.829986
9339,1680744295.8300202
9390,1680744295.83116
9408,1680744295.831224
9512,1680744295.837777
9560,1680744295.8378
9564,1680744295.837837
9619,1680744295.837872
9735,1680744295.841614
9863,1680744295.8485131
9969,1680744295.853311
10059,1680744295.8533351
10069,1680744295.855433
10288,1680744295.861801
10478,1680744295.8753269
10553,1680744295.8753521
10944,1680744295.888615
10953,1680744295.88864
10969,1680744295.88868
11016,1680744295.888714
11070,1680744295.88877
11165,1680744295.892394
11240,1680744295.894599
11300,1680744295.897002
11401,1680744295.90345
11406,1680744295.903486
11493,1680744295.903533
11561,1680744295.906688
11610,1680744295.906729
11836,1680744295.914099
12076,1680744295.9273012
12186,1680744295.927326
12300,1680744295.931975
12363,1680744295.936141
12383,1680744295.936176
12487,1680744295.938236
12559,1680744295.940203
12567,1680744295.940244
12571,1680744295.940289
12582,1680744295.940325
12780,1680744295.948677
12874,1680744295.952949
13020,1680744295.957171
13058,1680744295.9572039
13166,1680744295.959508
13270,1680744295.9659588
13367,1680744295.965997
13601,1680744295.980643
13717,1680744295.980691
13976,1680744295.99346
14063,1680744295.993485
14100,1680744295.993524
14251,1680744295.995774
14272,1680744295.998079
14296,1680744295.998118
14459,1680744296.0054898
14524,1680744296.005527
14773,1680744296.020242
15037,1680744296.028651
15083,1680744296.028735
15181,1680744296.028785
15379,1680744296.0352352
15459,1680744296.039314
15513,1680744296.039348
15588,1680744296.041408
15667,1680744296.0435379
15913,1680744296.058798
15927,1680744296.058822
16106,1680744296.058858
16145,1680744296.058919
16174,1680744296.0600152
16199,1680744296.061051
16337,1680744296.068701
16350,1680744296.068724
16547,1680744296.074822
16618,1680744296.0748649
16645,1680744296.076991
16718,1680744296.07932
16764,1680744296.0816069
16853,1680744296.083662
16899,1680744296.08574
17087,1680744296.092203
17211,1680744296.096763
17287,1680744296.100919
17338,1680744296.100964
17425,1680744296.103059
17703,1680744296.11775
18096,1680744296.1262798
18175,1680744296.134918
18197,1680744296.134944
18266,1680744296.134989
18284,1680744296.13505
18338,1680744296.135103
18400,1680744296.1351411
18456,1680744296.137088
18508,1680744296.138117
18720,1680744296.1454332
19259,1680744296.1744719
19681,1680744296.191419
19704,1680744296.1914449
19721,1680744296.191495
19928,1680744296.191542
20370,1680744296.2060668
20391,1680744296.206107
20434,1680744296.206143
20439,1680744296.20618
20443,1680744296.206239
20471,1680744296.206284
20683,1680744296.210356
20730,1680744296.212727
20756,1680744296.2127519
20803,1680744296.214026
20837,1680744296.2150772
20861,1680744296.216162
21107,1680744296.231689
21167,1680744296.2317219
21177,1680744296.2317681
21361,1680744296.23386
21379,1680744296.233902
21538,1680744296.241091
21581,1680744296.2411258
21827,1680744296.247502
21833,1680744296.251584
21894,1680744296.251617
21987,1680744296.253844
22056,1680744296.256168
22116,1680744296.258305
22118,1680744296.258348
22195,1680744296.2615528
22230,1680744296.261596
22287,1680744296.265066
22289,1680744296.265126
22337,1680744296.265167
22528,1680744296.2729542
22674,1680744296.277035
22812,1680744296.2813709
22967,1680744296.28565
23165,1680744296.2985651
23215,1680744296.298589
23322,1680744296.2986271
23524,1680744296.304848
23650,1680744296.308917
23776,1680744296.313175
23976,1680744296.326046
24044,1680744296.3260858
24055,1680744296.3261352
24123,1680744296.326198
24343,1680744296.3339572
24853,1680744296.363775
24886,1680744296.3638
25048,1680744296.3638499
25161,1680744296.363887
25888,1680744296.398437
26006,1680744296.39862
26031,1680744296.3987
26068,1680744296.3987782
26092,1680744296.398848
26151,1680744296.399035
26252,1680744296.399162
26259,1680744296.3992572
26396,1680744296.4087732
26561,1680744296.413027
26589,1680744296.4130619
26650,1680744296.415493
26737,1680744296.417583
26766,1680744296.417624
26975,1680744296.424971
26977,1680744296.425005
27394,1680744296.4484391
27444,1680744296.448479
27548,1680744296.448533
27686,1680744296.4485672
27731,1680744296.452661
27788,1680744296.452693
27821,1680744296.4527419
27961,1680744296.460164
27987,1680744296.460206
27996,1680744296.460269
28086,1680744296.463796
28165,1680744296.4661949
28182,1680744296.466242
28210,1680744296.4662862
28271,1680744296.4699268
28338,1680744296.471974
28476,1680744296.478467
28484,1680744296.478505
28553,1680744296.478566
28607,1680744296.4796932
28612,1680744296.480352
28983,1680744296.4961112
28988,1680744296.496145
29062,1680744296.4961789
29350,1680744296.5119202
29392,1680744296.511945
29709,1680744296.5245912
29759,1680744296.524622
29826,1680744296.524674
29829,1680744296.524729
29861,1680744296.5247722
29909,1680744296.524826
29946,1680744296.525154
30079,1680744296.5339808
30099,1680744296.534004
30114,1680744296.534048
30214,1680744296.5352478
30287,1680744296.538421
30447,1680744296.5445771
30507,1680744296.544611
30683,1680744296.55122
30739,1680744296.555284
30946,1680744296.559547
31114,1680744296.5727732
31185,1680744296.572819
31187,1680744296.572852
31261,1680744296.572889
31399,1680744296.576032
31528,1680744296.583123
31753,1680744296.587223
31825,1680744296.591325
31892,1680744296.5934799
31922,1680744296.5935192
32028,1680744296.600389
32174,1680744296.6045508
32627,1680744296.6179662
32629,1680744296.61802
32703,1680744296.622369
32808,1680744296.626432
32887,1680744296.626467
32986,1680744296.633397
33075,1680744296.633446
33541,1680744296.648538
33565,1680744296.656963
33611,1680744296.6569889
33710,1680744296.657023
33848,1680744296.660152
33910,1680744296.6623821
34222,1680744296.6776981
34298,1680744296.6777349
34335,1680744296.677788
34364,1680744296.677849
34457,1680744296.6812952
34551,1680744296.683625
34564,1680744296.684684
34580,1680744296.684716
34582,1680744296.684767
34603,1680744296.684848
34617,1680744296.685468
34711,1680744296.689099
34904,1680744296.695623
34917,1680744296.695661
35019,1680744296.703885
35112,1680744296.7039099
35172,1680744296.706044
35207,1680744296.7081301
35229,1680744296.7081652
35373,1680744296.716005
35406,1680744296.716031
35436,1680744296.716095
35585,1680744296.720434
35754,1680744296.7271419
35824,1680744296.733001
35968,1680744296.737545
35987,1680744296.737568
36056,1680744296.7396638
36075,1680744296.739698
36086,1680744296.739755
36323,1680744296.747883
36424,1680744296.752217
36576,1680744296.75632
36596,1680744296.758494
36610,1680744296.758527
36645,1680744296.7585762
36786,1680744296.766099
36793,1680744296.766148
36851,1680744296.766195
37032,1680744296.773962
37100,1680744296.773987
37149,1680744296.776087
37194,1680744296.778155
37205,1680744296.778188
37780,1680744296.8109891
38110,1680744296.8110158
38272,1680744296.81999
38314,1680744296.8241248
38484,1680744296.8241699
38565,1680744296.8242218
38696,1680744296.828438
38954,1680744296.8418381
39120,1680744296.841874
39154,1680744296.8467178
39164,1680744296.846765
39184,1680744296.84682
39223,1680744296.8468769
39320,1680744296.8515332
39400,1680744296.853754
39420,1680744296.853812
39427,1680744296.8538618
39477,1680744296.8576052
39540,1680744296.8588412
39633,1680744296.861611
39736,1680744296.8684642
40037,1680744296.8827178
40280,1680744296.8911202
40382,1680744296.891144
40493,1680744296.8953059
40716,1680744296.900198
40747,1680744296.9042912
40837,1680744296.904333
40856,1680744296.906399
40938,1680744296.908491
41138,1680744296.9154189
41224,1680744296.919745
41244,1680744296.919769
41310,1680744296.9219022
41448,1680744296.928101
41799,1680744296.940678
41842,1680744296.9407182
41857,1680744296.940774
41882,1680744296.940811
42012,1680744296.944242
42076,1680744296.9465542
42120,1680744296.9487062
42135,1680744296.948742
42159,1680744296.9487832
42163,1680744296.948842
42346,1680744296.9570491
42389,1680744296.957073
42392,1680744296.9571168
42424,1680744296.958176
42453,1680744296.9592252
42655,1680744296.967255
42702,1680744296.971404
42715,1680744296.9714382
42898,1680744296.977928
43058,1680744296.982192
43143,1680744296.982223
43306,1680744296.988353
43400,1680744296.992594
43408,1680744296.992618
43414,1680744296.992662
43442,1680744296.992706
43502,1680744296.9942882
43568,1680744296.997518
43667,1680744296.999833
43769,1680744297.005973
43897,1680744297.0108328
43954,1680744297.010883
43985,1680744297.010924
44036,1680744297.014721
44102,1680744297.016823
44105,1680744297.0168698
44176,1680744297.018958
44188,1680744297.0189922
44263,1680744297.0210571
44319,1680744297.023073
44638,1680744297.03811
44794,1680744297.0381398
44931,1680744297.051442
45033,1680744297.051467
45153,1680744297.0515132
45207,1680744297.053643
45522,1680744297.0686562
45605,1680744297.068681
45640,1680744297.0687182
45653,1680744297.068767
45994,1680744297.085151
46027,1680744297.0851772
46398,1680744297.097754
46548,1680744297.097794
46891,1680744297.1104288
46946,1680744297.119532
47073,1680744297.1195562
47174,1680744297.119592
47196,1680744297.120749
47247,1680744297.122803
47312,1680744297.124872
47579,1680744297.139532
47603,1680744297.139565
47643,1680744297.13963
47735,1680744297.139703
47851,1680744297.142905
47892,1680744297.142941
47922,1680744297.1440692
48050,1680744297.152119
48117,1680744297.152144
48161,1680744297.153244
48276,1680744297.156503
48318,1680744297.158575
48547,1680744297.1732612
48635,1680744297.173292
48907,1680744297.1774468
49099,1680744297.190635
49137,1680744297.190659
49373,1680744297.1948411
49403,1680744297.194876
49567,1680744297.201545
49669,1680744297.2056918
49750,1680744297.205725
49813,1680744297.207863
50031,1680744297.222831
50124,1680744297.222856
50222,1680744297.222892
50299,1680744297.224958
50323,1680744297.225004
50569,1680744297.24082
50695,1680744297.240862
50777,1680744297.240905
50893,1680744297.247425
50902,1680744297.247467
51138,1680744297.253933
51241,1680744297.25807
51474,1680744297.27105
51719,1680744297.279377
51727,1680744297.279444
51812,1680744297.279497
51939,1680744297.279556
51963,1680744297.2796412
51956,1680744297.280083
51964,1680744297.2801259
52081,1680744297.284262
52091,1680744297.2863848
52143,1680744297.286429
52148,1680744297.287023
52253,1680744297.290132
52369,1680744297.297878
52541,1680744297.302474
52741,1680744297.3158898
52745,1680744297.315933
52796,1680744297.315997
52926,1680744297.3160489
52995,1680744297.319007
52996,1680744297.319042
53071,1680744297.321197
53085,1680744297.321242
53136,1680744297.324464
53159,1680744297.324516
53163,1680744297.324567
53195,1680744297.325174
53376,1680744297.3344052
53405,1680744297.334431
53415,1680744297.334487
