window_size,timestamp
8,1680744295.5065799
16,1680744295.507406
16,1680744295.5081542
32,1680744295.508733
64,1680744295.50988
128,1680744295.5122151
64,1680744295.516758
128,1680744295.5190809
256,1680744295.5238972
16,1680744295.5322518
16,1680744295.532811
32,1680744295.533443
32,1680744295.534525
32,1680744295.535628
64,1680744295.5366971
64,1680744295.538778
128,1680744295.541197
64,1680744295.54563
64,1680744295.54786
128,1680744295.550087
64,1680744295.556
128,1680744295.558663
16,1680744295.5636742
16,1680744295.564242
32,1680744295.564801
32,1680744295.56592
64,1680744295.566957
64,1680744295.5690439
128,1680744295.5710661
256,1680744295.575262
128,1680744295.5841331
256,1680744295.5882869
32,1680744295.597496
64,1680744295.598526
128,1680744295.600565
32,1680744295.604704
64,1680744295.605765
128,1680744295.607916
128,1680744295.612354
256,1680744295.616707
128,1680744295.6250932
256,1680744295.6292999
16,1680744295.6379561
16,1680744295.638577
32,1680744295.639123
64,1680744295.640138
64,1680744295.642257
128,1680744295.644425
256,1680744295.6489642
128,1680744295.657397
64,1680744295.661581
64,1680744295.663899
128,1680744295.6661818
128,1680744295.67037
128,1680744295.674474
256,1680744295.678612
8,1680744295.6872509
16,1680744295.687545
32,1680744295.688082
16,1680744295.6891892
32,1680744295.6897411
64,1680744295.690764
32,1680744295.692981
64,1680744295.694015
64,1680744295.696322
128,1680744295.6985002
64,1680744295.702639
64,1680744295.7047858
128,1680744295.706829
64,1680744295.710947
128,1680744295.7129862
256,1680744295.717431
256,1680744295.725588
64,1680744295.7343218
128,1680744295.736449
64,1680744295.7406878
64,1680744295.7427258
128,1680744295.74495
32,1680744295.749751
64,1680744295.750863
64,1680744295.7529511
128,1680744295.7549682
64,1680744295.759166
32,1680744295.761413
64,1680744295.762583
32,1680744295.7645981
32,1680744295.7656472
64,1680744295.7667232
64,1680744295.7688162
128,1680744295.770926
256,1680744295.775365
128,1680744295.7854662
32,1680744295.790643
64,1680744295.791728
128,1680744295.793747
128,1680744295.797929
128,1680744295.802729
64,1680744295.806829
16,1680744295.8089669
32,1680744295.809506
64,1680744295.8105159
128,1680744295.812714
64,1680744295.8175318
64,1680744295.819641
64,1680744295.821738
64,1680744295.823781
128,1680744295.8258939
32,1680744295.830066
64,1680744295.831253
128,1680744295.833407
16,1680744295.837923
32,1680744295.8384619
64,1680744295.839484
64,1680744295.841634
128,1680744295.843709
128,1680744295.848526
64,1680744295.853368
64,1680744295.8554509
128,1680744295.8575182
128,1680744295.861824
256,1680744295.866227
128,1680744295.875381
256,1680744295.87963
16,1680744295.888799
32,1680744295.889347
64,1680744295.890367
64,1680744295.892419
64,1680744295.8946261
64,1680744295.897027
128,1680744295.8991308
32,1680744295.903559
64,1680744295.9046028
32,1680744295.90676
64,1680744295.907789
128,1680744295.909819
128,1680744295.914112
256,1680744295.918756
128,1680744295.927362
128,1680744295.931993
64,1680744295.9362009
64,1680744295.938257
8,1680744295.940366
16,1680744295.940635
32,1680744295.941171
64,1680744295.942183
128,1680744295.944273
128,1680744295.948701
128,1680744295.95297
64,1680744295.957243
64,1680744295.959525
128,1680744295.961569
64,1680744295.966039
128,1680744295.968117
256,1680744295.972194
128,1680744295.980727
256,1680744295.9848619
64,1680744295.993561
64,1680744295.995786
32,1680744295.9981508
64,1680744295.999348
128,1680744296.001386
64,1680744296.005564
128,1680744296.0076191
256,1680744296.0118568
256,1680744296.020436
64,1680744296.028812
128,1680744296.0311198
128,1680744296.035254
64,1680744296.0393689
64,1680744296.041433
64,1680744296.043558
128,1680744296.045655
256,1680744296.0496829
32,1680744296.0589561
32,1680744296.060034
32,1680744296.0610712
64,1680744296.062169
128,1680744296.064408
64,1680744296.068749
128,1680744296.070762
64,1680744296.0748951
64,1680744296.07701
64,1680744296.079332
64,1680744296.0816262
64,1680744296.083688
64,1680744296.085761
128,1680744296.088062
128,1680744296.092225
128,1680744296.096777
64,1680744296.100996
64,1680744296.1030788
128,1680744296.105123
256,1680744296.1092732
256,1680744296.117764
256,1680744296.126295
8,1680744296.13518
16,1680744296.1354969
32,1680744296.13602
32,1680744296.137107
32,1680744296.138138
64,1680744296.1391711
128,1680744296.141196
128,1680744296.145447
256,1680744296.149745
512,1680744296.158068
512,1680744296.174491
64,1680744296.191586
128,1680744296.193614
256,1680744296.198087
8,1680744296.206321
16,1680744296.2066078
32,1680744296.207128
64,1680744296.2081559
64,1680744296.210368
32,1680744296.212775
32,1680744296.2140448
32,1680744296.215101
32,1680744296.21618
64,1680744296.217212
128,1680744296.219239
256,1680744296.223552
64,1680744296.231841
32,1680744296.2339358
64,1680744296.2350101
128,1680744296.237046
64,1680744296.2411468
128,1680744296.243177
128,1680744296.247515
64,1680744296.25164
64,1680744296.253865
64,1680744296.256193
32,1680744296.258373
64,1680744296.259438
32,1680744296.261626
64,1680744296.2627761
16,1680744296.265206
32,1680744296.265742
64,1680744296.266768
128,1680744296.268901
128,1680744296.2729752
128,1680744296.277056
128,1680744296.281392
128,1680744296.285669
256,1680744296.2899358
64,1680744296.298653
128,1680744296.300709
128,1680744296.304868
128,1680744296.308942
128,1680744296.313196
256,1680744296.317306
32,1680744296.32623
64,1680744296.3272781
128,1680744296.3294232
128,1680744296.333971
256,1680744296.3381639
512,1680744296.346455
64,1680744296.363926
128,1680744296.3661928
256,1680744296.370337
512,1680744296.378431
4,1680744296.399298
8,1680744296.3995461
16,1680744296.400026
32,1680744296.401356
64,1680744296.4024389
128,1680744296.4044669
128,1680744296.408799
64,1680744296.413096
64,1680744296.4155142
32,1680744296.4176471
64,1680744296.4187331
128,1680744296.420862
64,1680744296.425028
128,1680744296.4273212
256,1680744296.431514
256,1680744296.439973
128,1680744296.4486122
32,1680744296.4527638
64,1680744296.453855
128,1680744296.45588
32,1680744296.460295
64,1680744296.4615538
64,1680744296.463808
16,1680744296.466319
32,1680744296.466878
64,1680744296.467896
64,1680744296.4699469
64,1680744296.471999
128,1680744296.4741418
32,1680744296.4786
16,1680744296.4797282
32,1680744296.480371
64,1680744296.4815528
128,1680744296.483639
256,1680744296.487678
64,1680744296.4962041
128,1680744296.498231
256,1680744296.5023859
128,1680744296.5119731
256,1680744296.516302
8,1680744296.5248551
8,1680744296.525173
16,1680744296.525451
32,1680744296.5259662
64,1680744296.527266
128,1680744296.529554
